"login","points"
"isabella232",92704
"5l1v3r1",83312
"bugbug2022",81187
"TrellixVulnTeam",57902
"pombredanne",46929
"SecurityLab-CodeAnalysis",43305
"gitter-badger",42569
"Wesley-yang",40210
"IQ-SCM",31204
"codacy-badger",30138
"CNXTEoE",28766
"keccak384",27737
"devfactory-at-dev",27389
"stjordanis",24694
"acciojob",23415
"hhy5277",21919
"carriercomm",21645
"sae-bom",20563
"Code-Institute-Submissions",20392
"QPC-WORLDWIDE",20194
"fossabot",19600
"digideskio",18793
"ajunlonglive",18571
"mfkiwl",18406
"bestwpw",18144
"ecogit-stage",18115
"isgasho",16644
"Boyquotes",16242
"bitdeli-chef",16046
"imclab",15808
"regro-cf-autotick-bot",15806
"alshamiri5",15748
"bridgecrew-perf6",15483
"vijayvani",15398
"CrackerCat",14971
"iCodeIN",14939
"modulexcite",14867
"fengjixuchui",14730
"morristech",14374
"jamiepg1",14321
"xmo-odoo",14246
"lineCode",14213
"afcarl",14004
"asdlei99",14001
"guoyu07",13586
"UserTestOrg",13413
"vaginessa",12113
"xhwyli",12036
"msgpo",12013
"bridgecrew-perf4",11771
"fagan2888",11762
"OnToologyUser",11695
"jorik041",11679
"waffle-iron",11675
"carabina",11674
"uk-gov-mirror",11644
"PinkDiamond1",11626
"dalavanmanphonsy",11508
"jenniemanphonsy",11440
"Tubbz-alt",11266
"00mjk",11133
"afalko",10999
"Mechachleopteryx",10963
"slskopytko",10953
"jsdelivrbot",10893
"PlumpMath",10850
"bravesoftdz",10839
"igor110055",10737
"mohsinalimat",10457
"happyqq",10379
"Trietptm-on-Security",10260
"violinist-dev",10149
"firebitsbr",10082
"actions-marketplace-validations",10033
"anthrax3",9937
"marciopocebon",9859
"muskanmahajan37",9855
"Global19-atlassian-net",9832
"Global19",9829
"TrendingTechnology",9720
"dreamsxin",9698
"Acidburn0zzz",9678
"doytsujin",9592
"MShaffar19",9585
"kleopatra999",9488
"dalalsunil1986",9463
"skyformat99",9356
"webclinic017",9315
"gmh5225",9265
"RyanTech",8970
"CNXTEoEorg",8931
"VB6Hobbyst7",8525
"Hengle",8487
"bubdm",8370
"CyberFlameGO",8295
"jangocheng",8286
"IP-CAM",8214
"shiftleft-staging",8205
"clayne",8072
"treejames",8029
"johndpope",7971
"rahulyhg",7939
"cjxd-bot-test",7935
"shaunstanislaus",7853
"heshanfu",7841
"gruberjuliannama",7830
"LaudateCorpus1",7677
"noranana",7614
"AlexRogalskiy",7512
"forkkit",7512
"forkeruser",7449
"conceptslearningmachine",7390
"mehulsbhatt",7342
"din982",7335
"anhnguyendepocen",7333
"shiftleft-prod",7191
"swipswaps",7086
"seanpm2001",7058
"cmarincia",7012
"devfactory-qa",6962
"techtronics",6910
"lgtm-migrator",6897
"Sandy4321",6848
"githubvaladm",6842
"optionalg",6809
"msdgwzhy6",6778
"cuulee",6761
"emacsmirror",6711
"enterstudio",6678
"rheehot",6644
"shubhampachori12110095",6627
"AlexxNica",6606
"npmcdn-to-unpkg-bot",6593
"xuxiaowei007",6523
"cybernetics",6509
"adysec",6422
"charygao",6362
"MaTriXy",6360
"nagyist",6254
"cata0309",6210
"zeta1999",6204
"sarvex",6199
"caomw",6153
"jenkins-x-bot-test",6142
"dut3062796s",6099
"Mu-L",6067
"mergify-test2",6016
"strategist922",5975
"strogo",5973
"suryatmodulus",5948
"RakhithJK",5942
"Sts0mrg0",5929
"ekmixon",5841
"codeaudit",5833
"dmaulikr",5745
"wwwK",5734
"Happy-Ferret",5703
"D-E-F-E-A-T",5669
"timgates42",5661
"noikiy",5644
"bellmit",5592
"cryptobuks",5555
"per1234",5530
"dystudio",5518
"RyanOatz99",5512
"rubythonode",5511
"bridgecrew-perf7",5505
"killvxk",5489
"radtek",5467
"doc22940",5433
"gg-big-org",5433
"bradparks",5431
"vishalbelsare",5397
"robotuser2",5364
"gridl",5338
"XrosLiang",5332
"BenJamesbabala",5296
"nagyistge",5283
"ezhangle",5269
"GSIL-Monitor",5243
"BearerPipelineTest",5231
"TeaganBriggs",5223
"mbrukman",5217
"sshyran",5216
"WooodHead",5191
"QuantumCloudDatabase",5145
"hbcbh1999",5129
"awesome-archive",5122
"priestd09",5064
"Python-Repository-Hub",5058
"ALEHACKsp",5056
"lulzzz",5055
"gavz",5033
"kamaal44",5031
"Bhanditz",5016
"tempbottle",5015
