"login","points"
"srirambv",2142
"importer",1699
"QGIS-feature-tracker",1178
"Gloirin",990
"tmancey",980
"LaurenWags",836
"DonJayamanne",784
"coryan",753
"crawltracker",661
"nickvergessen",637
"jamessystem",622
"GoogleCodeExporter",601
"Tyriar",600
"pocmo",595
"sobolevn",576
"flash1293",573
"GeetaSarvadnya",558
"gafter",557
"cbryanreapit",551
"xmonader",548
"vsfeedback",546
"NejcZdovc",528
"bart-at-mobicage",520
"jcouv",514
"kibanamachine",513
"SpiceBot",500
"alexey-milovidov",497
"luixxiul",490
"bhavyarm",476
"zaibon",474
"rsoika",469
"kjozwiak",462
"postmodern",459
"taine-bot",451
"mikecote",444
"AndreiMaz",440
"sijie",427
"umbhau",426
"jancborchardt",418
"Twiek",417
"davkean",414
"hikalkan",409
"Douglashdaniel",406
"thedoublejay",403
"NTaylorMullen",403
"TuringLovesDeathMetal",398
"joshxg",396
"Miyayes",395
"AlekseyTs",389
"robvanmieghem",386
"murphysj",385
"hadley",383
"cagataycivici",380
"stephendonner",374
"jlewi",372
"bpasero",372
"bsclifton",370
"ddurieux",367
"mconf-daileon",367
"PowerSchill",367
"Wolf2323",366
"mihail-varbanov",365
"cjcenizal",364
"jonathansampson",361
"plittlewood-rpt",357
"bbondy",355
"willmcvay",350
"YevgeniyShunevych",350
"jniles",342
"ara4n",339
"brettcannon",339
"PVince81",336
"btlechowski",335
"tzarebczan",331
"mavasani",331
"damithc",329
"prudhomm",329
"mariobehling",327
"C0ZEN",323
"sean-mcmanus",322
"mertsincan",317
"AndiAJ",313
"rarkins",312
"isidorn",309
"wylieconlon",307
"klonos",306
"Lineflyer",305
"amaltaro",305
"amenity",304
"ulfgebhardt",303
"IsakNaslundBh",303
"tibbi",301
"laurentiustanvitagroup",298
"cjnolet",295
"Hixie",294
"GlenDC",293
"ExperimentsInHonesty",292
"weinand",291
"doom369",291
"pmuellr",291
"michaldengusiak",288
"gino-m",287
"dianamartin",285
"JedMeister",284
"timroes",281
"samajammin",281
"88250",280
"jgwerner",278
"fridex",277
"jverkoey",277
"dankolbman",276
"HollyJoyPhillips",276
"bajtos",276
"davidnich",275
"jrieken",272
"drewnoakes",271
"lahabana",270
"spine-o-bot",269
"tomkerkhove",268
"jameskoster",267
"Reinmar",267
"nichtich",267
"fuxingloh",267
"annezazu",264
"D3athrow-Issues",262
"mcpierce",261
"bob-carpenter",260
"vesta0",259
"material-mirror",258
"roblourens",255
"lucaderi",253
"bdougie",252
"stratoula",252
"nagisc007",252
"CharliePoole",251
"sv-ohorvath",249
"jonalmeida",248
"trustin",248
"Granigan",247
"mjbvz",245
"sandy081",244
"gzaspa",243
"candu",243
"BohuTANG",243
"Gama11",239
"Yadunund",239
"sphuber",238
"manuroe",236
"gabrielluong",236
"tuomas2",235
"blackfalcon",235
"waldekmastykarz",234
"dwhieb",233
"LeeSmet",232
"joaomoreno",232
"liza-mae",232
"Draise14",231
"serge-rider",230
"benjamincharity",230
"dej611",229
"ThomThomson",228
"vania-pooh",227
"franck-apple",226
"Betree",226
"sftim",226
"sblatz",225
"andete",224
"fabriciomurta",222
"bwitham",221
"ansibot",221
"FraserGreenroyd",220
"tdiesler",220
"ipaleka",219
"marcioendo",219
"mararad",219
"davidmarin",218
"idea2-pepito",218
"grakn-bot",217
"Minecraftschurli",217
"tamaina",215
"stgraber",215
"shilman",215
"brasseld",214
"JessicaLucindaCheng",214
"Clashsoft",213
"matsbryntse",212
"danbogos",211
"metalgearsloth",210
"jakobbraun",209
"goern",208
"owlas",208
"mpostol",208
"ahg-g",208
"Dosant",208
"rafaelks",208
"softvision-miralobontiu",207
"atdservicebot",207
"CGillen",205
"Wuzzy2",204
"roji",204
"rtsisyk",204
"kvark",203
"turt2live",202
"chcholman",200
"derekbruening",200
"matlae-ugly",200
"afharo",199
"tcompiegne",198
"weltenwort",198
"jefflill",198
"despiegk",198
"fabriziopandini",198
"thaliawww-service",197
"aptiko",197
"danieldietrich",196
"queicherius",196
"dobromirdobrev",195
"cuongw",195
"brendanheywood",195
"nfeske",195
"jasonLaster",195
"mollybsmith-noaa",194
"lucasvanhalst",194
"jeremystretch",193
"wu-sheng",193
"teolemon",193
"kertal",193
"sharwell",192
"plegall",192
"alanna",192
"jckand-amzn",192
"oparoz",191
"josevalim",191
"abodea",191
"ehmicky",191
"bhollis",191
"rebron",189
"davelandry",187
"revans2",187
"nadako",186
"janpio",186
"roll",185
"seanlip",185
"sleberknight",184
"cston",184
"tristan-orourke",183
"pawelbaran",183
"tsullivan",182
"jrhemstad",181
"redDwarf03",180
"sethladd",180
"spong",179
"stephanegigandet",179
"ChristophWurst",179
"VSadov",179
"devformatters",179
"cibotalista",177
"jryans",177
"gtsiolis",176
"SamuelHassine",176
"1ec5",176
"Keavon",176
"s-ankur",176
"gaocegege",176
"SergeyZhukovsky",175
"mrniko",175
"kostja",174
"connor4312",174
"Awilum",174
"ThunderFrame",174
