"login","points"
"snyk-bot",159
"bryant1410",60
"orthographic-pedant",24
"kant",15
"timgates42",15
"lpmi-13",13
"dsteinbrunner",11
"jwilk",10
"Jason-Cooke",9
"node-migrator-bot",8
"manwar",8
"lewiscowper",7
"blueyed",6
"per1234",6
"paultcochrane",6
"isaosano",6
"PatelVatsalB21",6
"kentfredric",5
"scop",5
"changeworld",5
"ZackerySpytz",5
"daniel-beck",4
"eric-wieser",4
"sylvainmetayer",4
"gportay",4
"NeonKnightOA",4
"kinow",4
"vuonghv",4
"Average-user",4
"dforsi",3
"nadavkav",3
"syohex",3
"hughbe",3
"dandv",3
"Arnie97",3
"andreas-schwab",3
"ryanguest",3
"sharwell",3
"emilysachs",3
"Olorin-Narya",3
"otacke",3
"zoffixznet",3
"bmorrall",3
"Mailaender",3
"shlomif",3
"michael-brade",3
"iblech",3
"Defman21",3
"paralax",3
"waldyrious",3
"pali",3
"0xflotus",3
"graingert",3
"crisbeto",3
"redcapua",3
"ifrh",3
"andreacc",3
"sezero",3
"mrakgr",3
"Marcono1234",3
"JediKev",3
"quafzi",2
"max3903",2
"azt3k",2
"segevfiner",2
"jofemodo",2
"ip-gpu",2
"mpilgrem",2
"albert--",2
"kirs",2
"jayvdb",2
"MYKatz",2
"joroKr21",2
"thotypous",2
"acsbendi",2
"equwal",2
"codybarr",2
"conao3",2
"mhrabiee",2
"oranagra",2
"isghe",2
"raulghm",2
"jpiron",2
"golddranks",2
"dennisss",2
"dvdhinesh",2
"coorasse",2
"dchester",2
"Chefkeks",2
"StudioEtrange",2
"The-Alchemist",2
"szabgab",2
"ap",2
"kachkaev",2
"jorenvandeweyer",2
"jdblischak",2
"sagarghuge",2
"olleolleolle",2
"dopplershift",2
"danielmbarlow",2
"mkrufky",2
"jbchouinard",2
"kinglozzer",2
"thiemowmde",2
"djmaze",2
"einomi",2
"mcdado",2
"g1tman",2
"sthibaul",2
"sgdecker",2
"purcell",2
"ytetsuro",2
"misterdai",2
"adam-fowler",2
"izeye",2
"bit-map",2
"hnovikov",2
"nightwing",2
"chocolateboy",2
"riccardomurri",2
"AaronHForgeFlow",2
"michaelborn",2
"JoshuaBrockschmidt",2
"sakamotodesu",2
"mwpastore",2
"TylerWasniowski",2
"IGapchuk",2
"pashcovich",2
"achasveachas",2
"lacklustrlabs",2
"mshepcar",2
"centic9",2
"wafer-li",2
"pgrimaud",2
"sergeyromanov",2
"VladimirV99",2
"scottwedge",2
"danishjamal104",2
"jwakely",2
"xuwei-k",2
"mileo",2
"geislern",2
"zodman",2
"duncs",2
"tbl0605",2
"upsilon",2
"tirkarthi",2
"aheritier",2
"pipermerriam",2
"benyanke",2
"sublee",2
"justinshenk",2
"igneus",2
"thepjot",2
"aledsage",2
"shoamano83",2
"SanjayYr",2
"kenchan",2
"friederbluemle",2
"adrianschroeter",2
"awernick",2
"seanhussey",2
"mieszko4",2
"soul4soul",2
"riker09",2
"mirabilos",2
"mathiasvr",2
"Jellix",2
"hbruch",2
"ComputerTinker",2
"stm2",2
"ziaratban",2
"Pawe1",2
"smarsching",2
"Varadinsky",2
"alfonnews",2
"jzhuge",2
"ivoba",2
"ProgVal",2
"jspricke",2
"TSMMark",2
"ioncube",2
"martignoni",2
"benmarwick",2
"giomasce",2
"marcelotto",2
"mparry",2
"jonafato",2
"Jore",2
"Alexandrshy",2
"DariyGRAY",2
"ncallaway",2
"iver56",2
"jpmckinney",2
"nOOb3167",2
"StefanD986",2
"alex-schneider",2
"ShimShtein",2
"Sukender",2
"uniconstructor",2
"jb-san",2
"utkarshayachit",2
"jonathanstowe",2
"blegat",2
"warmsocks",2
"lucasg",2
"hickey",2
"pingram3030",2
"reiddraper",2
"schneiderl",2
"swarnava",2
"andrew-dixon",2
"rurban",2
"anirvan",2
"calh",2
"aiueogawa",2
"sim00",2
"jdreesen",2
"markstos",2
"daattali",2
"sebkur",2
"ssssssnake",2
"yegorich",2
"gohai",2
"vojtagrec",2
"billiob",2
"spolk01",2
"zalewskil",2
"batzen",2
"airchen233",2
"scrnjakovic",2
"jab",2
"LarsGit223",2
"dstenger",2
"tak3110",2
"Kefta",2
"andrelaszlo",2
"MarcelRaad",2
"sebastinas",2
"digitall",2
"jeidsath",2
"lexming",2
"besser82",2
"vlovich",2
"faf0-addepar",2
"Ypostolov",2
"julienV",2
"akien-mga",2
"AkshGautam",2
"nyue",2
"Ghost93",2
"whatacold",2
"ryanstull",2
"rustamwin",2
"borriglione",2
"davidor",2
"sunweaver",2
"mLuby",2
"SofHad",2
"aG0aep6G",2
"simon04",2
"Daniel-KM",2
"jcowgill",2
"coding-po",2
"Squidly271",2
"vertexcite",2
"mark-summerfield",2
"vlajos",2
"jeremymoritz",2
"jamesobutler",2
"jeis2497052",2
"oalders",2
"chummels",2
"nschonni",2
"s-nez",2
"ejucovy",2
"kenjis",2
"janpio",2
"tacaswell",2
"fschlich",2
"Vampire",2
"ArgobargSoup",2
