"login","points"
"pddemo",1455444
"koorellasuresh",411890
"leo424y",292340
"falconthrottle",285897
"autotester-one",212004
"PlaNFT",174092
"lstjsuperman",173980
"ouyanxia2",162198
"No-CQRT",149318
"Khan",140598
"Enterprise-CMCS",138689
"the-barserkou",136603
"microsoft",134011
"miladmhb",133957
"Nexity",113799
"Ramos-dev",108114
"imamandrews",105267
"support-ops",87732
"ssi-qa",85653
"hvva183",81943
"GHConnIT",80572
"trailofbits",79402
"3283952729",76808
"dotnet",71326
"ZeroK-RTS",69029
"debricked",67664
"crowdbotics-apps",66882
"BoltunovOleg",65170
"95sex",64052
"TingluoHuang",63827
"nainardev",58393
"NetaMx",56164
"pulWifi",55810
"venkat-amg",54041
"h4sh5",53644
"Microsoft",52660
"google",52485
"ksAutotests",50749
"Azure",49637
"joshjach",48146
"apache",48063
"JacksonKearl",47167
"hyb1996-guest",47023
"znjk123123",45797
"xuyuhuan123",43068
"bippybop",41581
"humera987",41192
"arcangelo7",40034
"antonba",37964
"mozilla",36120
"theapache64",35994
"myreader",33945
"octokit-fixture-org",32677
"shuhongwu",31404
"ikedaosushi",30705
"StepanFirsov",30327
"hq450",30242
"autotesterunito",30205
"MicrosoftDocs",30163
"Sym123Blue",29925
"elastic",29346
"as00789",29132
"zwwxy001",28832
"Zhycrin",27583
"mister-y",27379
"bbb5426647",27314
"bbb69356277",27200
"fsdffdee",27070
"zzy198912",26155
"webhintio",26102
"qlikqaa",25842
"cfranklinengr",25600
"VSCodeTriageBot",24552
"thebestmaster",24540
"w3c",23533
"type-challenges",23468
"github-vet",23226
"cichockimc",23094
"zpsmqqjiwguht",22994
"ValveSoftware",22881
"shmishra99",22770
"facebook",22657
"naser44",22461
"szjznk",22419
"test-user-kriktona",22214
"LesDrones",21940
"donying",21284
"hashicorp",20818
"fanout",20809
"JaferMin",20733
"lionheart",20459
"depshield-testing",20240
"ctfs",20237
"alibaba",20186
"dropod",20047
"YumaInaura",19462
"rust-lang",19409
"Automattic",19232
"legendaryorganization",19174
"bcgov",18990
"eclipse",18825
"gustavva",18332
"nextcloud",18160
"rossfuhrman",17875
"Kodular",17808
"rpzwuawboj",17500
"996icu",17443
"aws",17406
"pytorch",17204
"ElenaShadskaja",17186
"dart-lang",16901
"c276rr1tfd",16380
"nqwb0mq6",16316
"NikV2",16279
"vector-im",16148
"BoardGenius",15921
"pwllw",15887
"department-of-veterans-affairs",15874
"flutter",15807
"facebookincubator",15597
"questTEST",15339
"ethereum",15322
"QuadraticKid",15315
"cheapproductsol",14854
"githubschool",14570
"GoogleCloudPlatform",14557
"www1135",14236
"rsdn",14137
"jhjj87",14065
"canyou7can",14016
"godotengine",13937
"PennyDreadfulMTG",13747
"fhfuur26",13744
"ahgood",13671
"awslabs",13636
"docker",13559
"wso2",13388
"Oleksandra2",13372
"PaddlePaddle",13143
"PowerShellForGitHubTeam2",12872
"jyydwfwdopoka",12847
"kengorton",12759
"sinopsisfilm",12754
"bit-country",12702
"Q309166",12665
"AdguardTeam",12456
"siratsami2",12387
"senwell",12229
"PowerShellForGitHubTeam3",11994
"PowerShellForGitHubTeam4",11884
"18F",11815
"vz-risk",11805
"mapbox",11804
"chrmarti",11730
"aspnet",11709
"facebookresearch",11682
"pavlo-byshovets",11646
"patrickcapriola",11608
"tensorflow",11408
"sudocurse",11342
"ariCETester",11323
"angular",11231
"ghc-dev",11207
"wangy1943",11155
"beierguoji",11113
"dsp-testing",11086
"kalexmills",11075
"prxf",11043
"lqtrvjipm",11014
"stepanfirsov",10993
"baiyulong",10962
"Tencent",10925
"huntermcmillian",10918
"NixOS",10902
"cockroachdb",10845
"Adalab",10835
"b3log",10732
"skyzh",10663
"teerathjilh",10662
"aaaa02",10641
"grafana",10634
"e18rtest",10521
"mikfalluf",10472
"AlexRogalskiy",10463
"golang",10383
"darkina",10313
"brave",10218
"getlantern",10201
"vaadin",10183
"WordPress",10155
"rancher",10130
"sjslhs6",10105
