"login","points"
"hugoblanc",14334
"fabiocos",4488
"qliphy",3291
"civanch",3123
"perrotta",2995
"sifue",2584
"silviodonato",2416
"alalek",2311
"sauron-demo-Josephine",2094
"dmitrijus",1905
"davidlange6",1618
"jfernan2",1378
"ggovi",1242
"sauron-demo-Calvin",1211
"jwilander",1192
"deguio",1183
"cvuosalo",1136
"CyberDem0n",1115
"kpedro88",1014
"sandersky",901
"vpisarev",879
"Jan-M",851
"rekovic",836
"itkg-ngilain",835
"harti2006",794
"mfasDa",790
"santocch",781
"rsalevsky",780
"WebFundBot",770
"MorrisJobke",759
"coreyhulen",725
"crspeller",720
"vuntz",679
"PVince81",659
"moloko",658
"aohlson",648
"andrerom",644
"acka47",639
"emanueleusai",630
"dmuhlhei",622
"whiskeysierra",617
"makortel",582
"nschmidtALICE",580
"dirkmueller",574
"oliverfoster",542
"bdoenigu",541
"sashingo",539
"mmusich",537
"toabctl",533
"ngilain",522
"aplanas",511
"hrajotia",502
"hodgestar",501
"csadilek",495
"raymondEhlers",494
"maxwellpeterson-wf",492
"tboerger",481
"tfoote",475
"andrius-k",445
"fengmk2",443
"kennethdick",440
"enahum",436
"wesm",431
"Pilchie",431
"amaseda",430
"kou",428
"GrahamCampbell",425
"regislebrun",422
"yzhouCERN",420
"mcovarr",417
"LukasReschke",403
"a-mathis",397
"esteve",387
"privat",383
"harshach",379
"dancgray",375
"grgustaf",374
"ptnapoleon",367
"pohsun",364
"pippinsplugins",364
"taylortom",363
"troger",361
"zemla4ok",360
"andy-maier",350
"jsuchome",347
"clockfly",344
"FriederikeBock",342
"brian-learningpool",340
"fprino",335
"janua",331
"borkweb",331
"rappoccio",329
"wjwwood",329
"alja",329
"dr0i",327
"mulhearn",319
"nyobisan[bot]",318
"rbertens",318
"fabozzi",317
"acoffman",316
"evanweible-wf",316
"jimmy-huang",315
"hmhealey",313
"mshabunin",311
"zcbenz",310
"jerith",309
"gurneyalex",308
"mrandi",301
"adreghiciu",300
"sauron-demo-bbao",297
"dami-gg",291
"Morriar",289
"fwyzard",287
"arunhep",284
"syuilo",283
"szuecs",283
"prayerslayer",276
"sartozza",275
"tribal-tec",266
"Zapadlo",263
"jasonmalinowski",262
"lcunquei",258
"HeartSaVioR",251
"dbreedt",251
"alexeyklyukin",251
"GinjaNinja32",249
"bonkey",248
"chayanit",245
"aslagle",243
"perrozzi",243
"dberzano",242
"trentgrover-wf",242
"kdeloach",239
"chiarazampolli",238
"smn",237
"Zuhayr",237
"xavijam",235
"yannickroger",233
"mbroz84",231
"alavieille",229
"rnewson",227
"robyoung",226
"Fryguy",226
"shtukas",225
"mpuccio",224
"RyanCavanaugh",223
"vpacik",223
"jhawthorn",222
"ddobrigk",222
"black-eye",221
"lpernie",220
"scottinet",219
"cstamas",218
"thomreis",218
"mikesherov",216
"shahor02",214
"dongjokim",214
"mario-krueger",213
"nicolas-grekas",213
"kneth",213
"nedbat",212
"kharlov",208
"huafengw",207
"stvstnfrd",206
"kshepard",205
"fgrosa",205
"ballinette",202
"gconesab",202
"G-Driver",201
"lgraczykCern",200
"rudigiesler",200
"gmacdougall",198
"timosachsenberg",195
"monttj",194
"afc163",194
"Kennric",193
"akarnokd",192
"rhafer",192
"deepathoms",190
"bhohlweger",190
"jgrosseo",189
"mcculls",189
"rwjblue",188
"revans2",187
"dirk-thomas",186
"liuwen123",184
"matthew-andrews",184
"ashumilova",183
"xymus",183
"ptgoetz",179
"mhilton",178
"omichel",178
"jhoffman-ms",177
"franzoni",176
"kellyrob99",176
"hchiorean",176
"avaczi",176
"Dr15Jones",176
"rphillips",175
"nicolasbock",175
"kxepal",175
"manasdk",175
"kovacshuni",175
"dreispt",175
"MaximilianMeister",173
"maryam-balabeed",173
"PsiOmegaDelta",173
"miguelbernadi",173
"zenduo",173
"Xenopathic",171
"akubera",171
"vetinari",170
"pzhristov",169
"EliAndrewC",169
"brummett",169
"brianshannan-wf",168
"brunowego",168
"mhdawson",168
"dbarbier",167
"mattcaswell",166
"sandlerr",164
"roman-verchikov",162
"johnplayer1982",161
"richsalz",158
"fredj",158
"lveldere",158
"katyanna",157
"okurz",157
"leopoldjuergen",157
"JC5",156
"lolautruche",155
"KSchopmeyer",155
"aortizve",155
"rox163",155
"ksubrama",154
"toddw",154
"flibbertigibbet",152
"bogdanm",152
"rhyshort",152
"jlongever",152
"TheDoubleK",152
"pedrobaeza",151
"zhangh43",151
"mkruegerGitHub",151
"JeroenDeDauw",150
"dead-horse",149
"dustinlessard-wf",149
"arossi81",149
"apetro",148
"christopheralanwest",148
"sofianehaddad",148
"drench",147
"ebelter",146
"mhbu50",146
"stafyniaksacha",146
"awurster",145
"maurizi",144
"Nesze",144
"jmcs",144
"GraionDilach",144
"79ho3ein",143
"dennis-learningpool",142
"cunningt",142
"dpobel",140
"benoitvidis",140
"nishantmonu51",139
"jkeiser",139
"tomgreenfield",139
"miweberSMI",138
"jasonwalker80",138
"nvt",137
"voidtek",137
"jokonig",137
"covarell",137
"Scotchester",137
"tkellen",136
"konklone",136
"eile",136
"javadev",135
"chenjiahan",134
"Hywan",134
"leleuj",133
"haus",133
"doncung",132
"rachelwhitton",132
"nabcos",131
"mfernest",130
"corylanou",130
"jyuanca",130
"kmaehashi",130
"nbougalis",129
"bighappyface",129
"bdunogier",129
"dylanaraps",129
"d34dh0r53",127
"afestant",127
"BerniVarga",127
"xuguangxin",127
"sandersn",126
"KimberlyMunoz",125
"purehyperbole",125
"zaki50",125
"commuterjoy",124
"otoolep",124
"erogocha",124
"keradus",124
"xabbuh",123
"mrocklin",122
"rihanphys",122
"ralphbean",122
"toddboom",122
"guyd",121
"mrprescott",121
"himanshug",121
"rdumusc",120
"javajolt",120
"christofdamian",120
"psiroky",119
"mommsen",119
"jenow",119
"pkdash",119
"StefanRijnhart",119
"akuckartz",118
"cheeseplus",118
"ifosch",117
"lc-thomasberger",117
"Oxicode",117
"dianashk",117
"creationix",117
"benbjohnson",117
"ddohler",117
"arnoldnipper",116
"iarsene",116
